"","lhs","op","rhs","est","se","pval","confint","est_sig","est_std","se_std","pval_std","confint_std","est_sig_std","block","group","label","lavaan_label"
"32","Per4","~~","Per4","0.484","0.032","0.000","[0.422, 0.546]","0.484***","0.786","0.029","0.000","[0.730, 0.843]","0.786***","1.000","Mild","Variances.Per4.Mild",""
"33","Per5","~~","Per5","0.560","0.036","0.000","[0.489, 0.631]","0.560***","0.821","0.027","0.000","[0.767, 0.874]","0.821***","1.000","Mild","Variances.Per5.Mild",""
"34","Oth1","~~","Oth1","0.457","0.033","0.000","[0.392, 0.523]","0.457***","0.650","0.036","0.000","[0.580, 0.721]","0.650***","1.000","Mild","Variances.Oth1.Mild",""
"35","Oth2","~~","Oth2","0.489","0.033","0.000","[0.423, 0.554]","0.489***","0.723","0.033","0.000","[0.659, 0.787]","0.723***","1.000","Mild","Variances.Oth2.Mild",""
"36","Oth3","~~","Oth3","0.449","0.032","0.000","[0.386, 0.512]","0.449***","0.669","0.035","0.000","[0.599, 0.738]","0.669***","1.000","Mild","Variances.Oth3.Mild",""
"37","Oth4","~~","Oth4","0.634","0.041","0.000","[0.553, 0.716]","0.634***","0.800","0.029","0.000","[0.743, 0.857]","0.800***","1.000","Mild","Variances.Oth4.Mild",""
"38","Oth5","~~","Oth5","0.505","0.032","0.000","[0.442, 0.569]","0.505***","0.842","0.026","0.000","[0.792, 0.893]","0.842***","1.000","Mild","Variances.Oth5.Mild",""
"39","Oth6","~~","Oth6","0.557","0.035","0.000","[0.488, 0.626]","0.557***","0.874","0.024","0.000","[0.828, 0.921]","0.874***","1.000","Mild","Variances.Oth6.Mild",""
"40","Oth7","~~","Oth7","0.554","0.035","0.000","[0.485, 0.624]","0.554***","0.856","0.026","0.000","[0.806, 0.906]","0.856***","1.000","Mild","Variances.Oth7.Mild",""
"41","Helplessness","~~","Helplessness","0.109","0.016","0.000","[0.077, 0.140]","0.109***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.Helplessness.Mild",""
"42","Minimization","~~","Minimization","0.173","0.037","0.000","[0.102, 0.245]","0.173***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.Minimization.Mild",""
"43","DenialPersonhood","~~","DenialPersonhood","0.197","0.026","0.000","[0.146, 0.249]","0.197***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.DenialPersonhood.Mild",""
"44","Otherization","~~","Otherization","0.246","0.031","0.000","[0.185, 0.307]","0.246***","1.000","0.000",NA,"[1.000, 1.000]","1.000","1.000","Mild","Variances.Otherization.Mild",""
"45","Helplessness","~~","Minimization","0.036","0.012","0.002","[0.013, 0.059]","0.036**","0.263","0.079","0.001","[0.108, 0.418]","0.263***","1.000","Mild","Helplessness.WITH.Minimization.Mild",""
